borough_code,neighborhood,zipcode,land_square_feet,gross_square_feet,sale_price,community_district,school_district,floor_area_total_building,floor_area_residential,maximum_allowable_residential_far,x_coordinate,y_coordinate
4,BAYSIDE,11361,6000.0,2597.0,1388888.0,411,26,2597,2597,0.5,1046471,218034
4,BAYSIDE,11361,3817.0,2108.0,934000.0,411,26,2108,2108,0.5,1049578,217895
4,BAYSIDE,11361,4900.0,2160.0,1150000.0,411,26,2160,2160,0.5,1050024,219180
4,BAYSIDE,11360,4042.0,1742.0,990000.0,411,26,1742,1742,0.5,1045300,221351
4,BAYSIDE,11361,4542.0,1960.0,1050000.0,411,26,1960,1960,0.5,1046636,218582
4,BAYSIDE,11361,3300.0,1810.0,850000.0,411,26,1810,1810,0.5,1049116,219720
4,BAYSIDE,11361,4500.0,1520.0,925000.0,411,26,1520,1520,0.5,1046030,221122
4,BAYSIDE,11360,3555.0,2216.0,760000.0,411,26,2216,2216,0.5,1046469,221640
4,BAYSIDE,11361,5000.0,1608.0,850000.0,411,26,1608,1608,0.5,1049336,219769
4,BAYSIDE,11361,6000.0,1624.0,960000.0,411,26,1624,1624,0.5,1046000,218501
4,BAYSIDE,11361,5288.0,2688.0,1380000.0,411,26,2688,2688,0.5,1049940,218571
4,BAYSIDE,11361,4000.0,1400.0,830000.0,411,26,1400,1400,0.5,1045586,220038
4,BAYSIDE,11361,3800.0,1727.0,893000.0,411,26,1727,1727,0.5,1045475,220102
4,BAYSIDE,11360,5000.0,2040.0,1300000.0,411,26,2040,2040,0.5,1045750,221219
4,BAYSIDE,11361,6000.0,2140.0,950000.0,411,26,2140,2140,0.5,1046094,220398
4,BAYSIDE,11361,5500.0,2729.0,1190000.0,411,26,2729,2729,0.5,1046028,218694
4,BAYSIDE,11361,3800.0,1460.0,860000.0,411,26,1460,1460,0.5,1045401,220073
4,BAYSIDE,11361,2859.0,952.0,795000.0,411,26,952,952,0.5,1049264,218546
4,BAYSIDE,11360,8000.0,1937.0,1650000.0,411,26,1937,1937,0.5,1046854,223003
4,BAYSIDE,11360,8000.0,1500.0,1275000.0,411,26,1500,1500,0.5,1046659,223375
